City,Date,numPeople,PrecipAccel,Elevation,Population,OutputVar
Sulawesi Barat,2022-10-26,5000,0.0036363636363636346,349.03515625,-1,0.0032552083333333335
Jawa Tengah,2022-10-25,1177,0.010454545454545452,2632.81640625,-1,3.406657018813314e-05
Banten,2022-10-25,180,-0.0013636363636363434,64.37109375,-1,1.3677811550151975e-05
Jawa Barat,2022-10-24,21195,-0.0040909090909090895,733.0,-1,0.00042440929114937923
Jawa Barat,2022-10-24,178,-0.0040909090909090895,733.0,-1,3.564277132559071e-06
Jawa Timur,2022-10-24,1060,-0.0040909090909090895,1072.65625,-1,2.6673376950176145e-05
Sulawesi Tengah,2022-10-23,1214,0.0,1080.984375,-1,0.0003990795529257068
Bengkulu,2022-10-23,470,0.009545454545454544,659.7421875,-1,0.0014293230178787021
Jawa Tengah,2022-10-23,423,0.04000000000000001,2632.81640625,-1,1.2243125904486252e-05
Kalimantan Selatan,2022-10-23,184,9.462128050782583e-19,567.015625,-1,4.275092936802974e-05
Kalimantan Selatan,2022-10-23,4056,9.462128050782583e-19,567.015625,-1,0.0009423791821561338
Jawa Barat,2022-10-22,176,0.0027272727272727266,733.0,-1,3.5242290748898677e-06
Lampung,2022-10-22,295,0.009999999999999997,49.27734375,-1,3.487822180184441e-05
Sumatera Selatan,2022-10-22,280,0.0,18.734375,-1,3.2952806873014006e-05
Jawa Barat,2022-10-21,12606,0.0004545454545454531,733.0,-1,0.00025242290748898676
Jambi,2022-10-21,1206,0.011818181818181818,34.81640625,-1,0.00033639050753963813
Riau,2022-10-21,100,0.008181818181818182,17.2265625,-1,1.4630577907827359e-05
Sulawesi Barat,2022-10-21,1345,0.0045454545454545435,349.03515625,-1,0.0008756510416666666
Jawa Tengah,2022-10-20,436,-0.00045454545454545433,2632.81640625,-1,1.2619392185238785e-05
Jawa Tengah,2022-10-20,645,-0.00045454545454545433,2632.81640625,-1,1.8668596237337194e-05
Kalimantan Selatan,2022-10-20,396,1.5770213417970974e-19,567.015625,-1,9.200743494423792e-05
Kalimantan Selatan,2022-10-20,194,1.5770213417970974e-19,567.015625,-1,4.507434944237918e-05
Aceh,2022-10-20,375,0.004090909090909079,1220.890625,-1,6.980640357408786e-05
Aceh,2022-10-19,157,0.0013636363636363635,1220.890625,-1,2.9225614296351453e-05
Sumatera Selatan,2022-10-19,676,0.008181818181818186,18.734375,-1,7.95574908791338e-05
Riau,2022-10-19,1220,0.0,17.2265625,-1,0.0001784930504754938
Aceh,2022-10-19,426,0.0013636363636363635,1220.890625,-1,7.930007446016381e-05
Sumatera Selatan,2022-10-19,1620,0.008181818181818186,18.734375,-1,0.00019065552547958104
Jakarta Raya,2022-10-18,783,0.006363636363636364,10.2734375,-1,7.414772727272728e-05
Kalimantan Tengah,2022-10-18,446,0.005454545454545462,72.46484375,-1,0.00016830188679245282
Sumatera Selatan,2022-10-18,1650,0.004545454545454542,18.734375,-1,0.00019418618335883254
Sulawesi Selatan,2022-10-17,3285,-0.0018181818181818243,532.796875,-1,0.0003711445034459383
Nusa Tenggara Timur,2022-10-17,253,0.005909090909090909,1103.8125,-1,4.750281637251221e-05
Sulawesi Barat,2022-10-17,1252,-0.0013636363636363648,349.03515625,-1,0.0008151041666666667
Jawa Timur,2022-10-17,13950,-0.000909090909090909,1072.65625,-1,0.0003510317060895823
Sulawesi Selatan,2022-10-16,8730,1.5770213417970974e-19,532.796875,-1,0.0009863292283357813
Sumatera Utara,2022-10-16,125,0.0013636363636363538,1703.65625,-1,8.585164835164835e-06
Kalimantan Tengah,2022-10-16,1000,0.009545454545454544,72.46484375,-1,0.0003773584905660377
Jawa Timur,2022-10-16,15020,-6.30808536718839e-19,1072.65625,-1,0.0003779567186713639
Jawa Timur,2022-10-16,7225,-6.30808536718839e-19,1072.65625,-1,0.00018180674383492702
Jawa Timur,2022-10-16,6125,-6.30808536718839e-19,1072.65625,-1,0.00015412682435832914
Bali,2022-10-16,200,0.002727272727272729,38.546875,-1,4.585052728106373e-05
Riau,2022-10-15,448,-0.002272727272727273,17.2265625,-1,6.554498902706657e-05
Bali,2022-10-15,19445,0.011818181818181813,38.546875,-1,0.004457817514901421
Jawa Timur,2022-10-15,1490,1.5770213417970974e-19,1072.65625,-1,3.749370910920986e-05
Nusa Tenggara Barat,2022-10-15,1134,0.0013636363636363635,607.34765625,-1,0.00022122512680452594
Jawa Timur,2022-10-15,3615,1.5770213417970974e-19,1072.65625,-1,9.096628082536487e-05
Jawa Tengah,2022-10-14,1700,-1.261617073437678e-18,2632.81640625,-1,4.9204052098408106e-05
Sulawesi Barat,2022-10-14,1800,0.0,349.03515625,-1,0.001171875
Jawa Timur,2022-10-14,697,1.5770213417970974e-19,1072.65625,-1,1.7539003522898843e-05
Jawa Timur,2022-10-14,5145,1.5770213417970974e-19,1072.65625,-1,0.00012946653246099647
Kalimantan Tengah,2022-10-13,26183,0.003636363636363632,72.46484375,-1,0.009880377358490566
Jawa Tengah,2022-10-13,9400,-0.003181818181818183,2632.81640625,-1,0.00027206946454413894
Jawa Timur,2022-10-13,880,4.731064025391292e-19,1072.65625,-1,2.214393558127831e-05
Lampung,2022-10-13,9118,0.002272727272727272,49.27734375,-1,0.0010780326318278553
Jawa Barat,2022-10-13,321,4.731064025391292e-19,733.0,-1,6.427713255907088e-06
Jawa Tengah,2022-10-12,1615,0.0027272727272727258,2632.81640625,-1,4.6743849493487696e-05
Bengkulu,2022-10-12,570,0.0036363636363636346,659.7421875,-1,0.001733434298278426
Bali,2022-10-12,1940,0.0,38.546875,-1,0.0004447501146263182
Sulawesi Tengah,2022-10-11,350,0.02727272727272727,1080.984375,-1,0.00011505588428665352
Lampung,2022-10-11,100,3.154042683594195e-19,49.27734375,-1,1.1823126034523528e-05
Jawa Barat,2022-10-11,140,0.0027272727272727223,733.0,-1,2.803364036844213e-06
Sulawesi Barat,2022-10-11,560,-0.0031818181818181884,349.03515625,-1,0.00036458333333333335
Jawa Barat,2022-10-11,180,0.0027272727272727223,733.0,-1,3.6043251902282737e-06
Jakarta Raya,2022-10-10,1691,0.00818181818181818,10.2734375,-1,0.00016013257575757576
Sulawesi Barat,2022-10-10,8416,-0.001818181818181816,349.03515625,-1,0.005479166666666667
Kalimantan Barat,2022-10-10,35429,0.018181818181818167,114.5390625,-1,0.006989347011244822
Sumatera Selatan,2022-10-10,1320,-0.0009090909090909088,18.734375,-1,0.000155348946687066
Sumatera Utara,2022-10-09,935,-0.015454545454545459,1703.65625,-1,6.421703296703296e-05
Gorontalo,2022-10-09,1533,-0.0009090909090909096,55.55078125,-1,0.007271537126106384
Maluku Utara,2022-10-08,150,-0.03318181818181817,157.203125,-1,0.00011942675159235669
Banten,2022-10-08,3275,0.0063636363636363664,64.37109375,-1,0.00024886018237082065
Sulawesi Selatan,2022-10-08,124,-0.005909090909090912,532.796875,-1,1.4009716416224155e-05
Kalimantan Barat,2022-10-08,21337,0.02545454545454545,114.5390625,-1,0.004209311501282304
Sulawesi Selatan,2022-10-08,620,-0.005909090909090912,532.796875,-1,7.004858208112078e-05
Jawa Tengah,2022-10-08,21187,0.06818181818181818,2632.81640625,-1,0.0006132272069464544
Kalimantan Barat,2022-10-07,46250,0.014545454545454544,114.5390625,-1,0.009124087591240875
Gorontalo,2022-10-07,1054,0.0004545454545454537,55.55078125,-1,0.004999478232822001
Sulawesi Selatan,2022-10-07,1075,0.0004545454545454537,532.796875,-1,0.00012145520280194328
Kalimantan Tengah,2022-10-07,6881,0.017727272727272727,72.46484375,-1,0.0025966037735849056
Jawa Barat,2022-10-07,5969,-0.0009090909090909153,733.0,-1,0.00011952342811373648
Aceh,2022-10-07,2359,0.0,1220.890625,-1,0.00043912881608339536
Jawa Timur,2022-10-07,760,-0.0009090909090909153,1072.65625,-1,1.9124308002013087e-05
